cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 0 100 4.8280 3.5320 6026.9321 0.9321 27.6868 0.2732
1 0 200 8.2090 3.9520 6027.9551 1.9551 43.0761 0.2298
1 0 300 8.3050 3.6460 6029.0459 3.0459 49.8807 0.1349
1 0 400 8.1930 3.7090 6030.0850 4.0850 47.6281 0.2925
1 0 500 8.3680 3.8040 6031.1470 5.1470 45.9315 0.2211
1 0 600 8.4840 3.8270 6032.1982 6.1982 48.2413 0.1594
1 0 700 8.3950 3.7670 6033.3569 7.3569 49.1338 0.3146
1 0 800 8.7050 3.8440 6034.5000 8.5000 47.8842 0.2242
1 0 900 8.6580 3.8760 6035.6289 9.6289 48.4641 0.2116
1 0 1000 8.7550 3.9170 6036.7622 10.7622 49.2817 0.2773
1 0 1100 8.6240 3.7550 6037.9019 11.9019 50.1373 0.3854
1 0 1200 7.8960 3.5570 6039.0571 13.0571 49.4239 0.5344
1 0 1300 8.0980 3.4940 6040.1372 14.1372 55.0461 0.3071
1 0 1400 8.6090 3.6680 6041.1841 15.1841 51.6267 0.2012
1 0 1500 8.6160 3.6510 6042.2949 16.2949 51.0102 0.1967
1 0 1600 8.5270 3.6460 6043.3511 17.3511 52.0562 0.2010
1 0 1700 8.4450 3.5930 6044.4512 18.4512 50.5577 0.3231
1 0 1800 8.3110 3.4890 6045.4521 19.4521 53.3351 0.2408
1 0 1900 8.5320 3.5610 6046.4609 20.4609 54.3706 0.4858
1 0 2000 8.7270 3.5770 6047.5029 21.5029 53.5285 0.4272
1 0 2100 8.5150 3.5400 6048.7002 22.7002 52.3558 0.3709
1 0 2200 8.7410 3.6900 6049.8149 23.8149 53.7209 0.3642
1 0 2300 8.6330 3.6780 6051.1172 25.1172 53.0278 0.4062
1 0 2400 8.3050 3.5760 6052.1641 26.1641 52.6421 0.3412
1 0 2500 8.3310 3.5150 6053.3271 27.3271 56.0074 0.3505
1 0 2600 8.4400 3.6110 6054.4600 28.4600 54.9031 0.2911
1 0 2700 8.5370 3.6240 6055.5459 29.5459 52.2784 0.4007
1 0 2800 8.7440 3.5200 6056.6699 30.6699 54.4166 0.3264
1 0 2900 8.7300 3.5680 6057.7368 31.7368 58.1788 0.4964
1 0 3000 8.9970 3.7450 6058.6992 32.6992 53.3179 0.4561
1 0 3100 8.7490 3.5900 6059.7368 33.7368 55.1084 0.2769
1 0 3200 8.5200 3.5650 6060.9849 34.9849 55.1458 0.4987
1 0 3300 8.5740 3.3690 6062.0942 36.0942 57.2683 0.7406
1 0 3400 8.4660 3.4980 6063.3340 37.3340 57.2173 0.3954
1 0 3500 8.6790 3.7730 6064.3960 38.3960 52.3748 0.3986
1 0 3600 8.8600 3.8160 6065.5562 39.5562 51.9371 0.3168
1 0 3700 8.7960 3.6230 6066.6621 40.6621 54.4306 0.2374
1 0 3800 8.9660 3.5790 6067.6948 41.6948 59.1348 0.4258
1 0 3900 8.5160 3.5860 6068.7681 42.7681 55.9015 0.8692
1 0 4000 8.7670 3.6980 6069.9731 43.9731 56.8620 0.4462
1 0 4100 8.6230 3.6070 6070.9370 44.9370 54.5629 0.4583
1 0 4200 8.8810 3.7370 6072.1719 46.1719 55.1564 0.1983
1 0 4300 8.8600 3.6170 6073.3750 47.3750 55.8011 0.6895
1 0 4400 8.6950 3.5080 6074.2598 48.2598 56.9166 0.4866
1 0 4500 8.9210 3.6970 6075.3818 49.3818 57.5648 0.5504
1 0 4600 8.5920 3.7300 6076.3848 50.3848 54.5886 0.8244
1 0 4700 8.7330 3.8350 6077.2729 51.2729 56.3073 0.6949
1 0 4800 8.4830 3.6350 6078.3530 52.3530 55.2169 0.4492
1 0 4900 8.8510 3.6390 6079.6411 53.6411 56.2645 0.6947
1 0 5000 8.9290 3.5100 6080.8218 54.8218 61.1054 1.3296
1 0 5100 8.5680 3.5400 6081.8398 55.8398 57.9957 0.5475
1 0 5200 8.2610 3.6660 6082.8809 56.8809 53.2278 0.5098
1 0 5300 8.4520 3.6940 6084.3071 58.3071 52.9735 0.8446
1 0 5400 8.3960 3.6800 6085.4370 59.4370 53.4764 0.5598
1 0 5500 8.5770 3.6120 6086.7378 60.7378 53.2323 0.7320
1 0 5600 8.4220 3.4010 6088.0439 62.0439 58.1497 0.6807
1 0 5700 8.2000 3.4830 6089.2588 63.2588 53.5396 0.3962
1 0 5800 8.4670 3.6100 6090.6582 64.6582 53.6959 0.5003
1 0 5900 8.2940 3.6190 6091.8970 65.8970 54.2894 0.9497
1 0 6000 8.6730 3.8080 6093.0591 67.0591 51.9837 0.3445
