cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 0 100 16.0000 16.0000 33.0000 0.0000 0.0000 0.0000
1 0 200 25.0000 25.0000 33.0000 0.0000 0.0000 0.0000
1 0 300 11.2960 11.0920 34.0000 1.0000 0.0542 0.0552
1 0 400 19.5960 19.2320 34.0010 1.0010 0.0977 0.0944
1 0 500 12.5280 12.2230 34.5550 1.5550 0.1553 0.1337
1 0 600 18.5140 18.0580 34.5750 1.5750 0.2092 0.1806
1 0 700 14.5360 14.1360 34.9840 1.9840 0.3900 0.3406
1 0 800 16.2670 15.8350 35.0020 2.0020 0.3294 0.2844
1 0 900 15.3810 14.9450 35.4060 2.4060 0.0984 0.0878
1 0 1000 13.6170 13.2360 35.5220 2.5220 0.0181 0.0186
1 0 1100 15.8910 15.4860 35.8210 2.8210 0.0084 0.0087
1 0 1200 15.0600 14.5900 35.8900 2.8900 0.0086 0.0089
1 0 1300 16.4760 15.9930 36.1860 3.1860 0.0341 0.0338
1 0 1400 14.6420 14.2260 36.3440 3.3440 0.0908 0.0905
1 0 1500 15.5920 15.1640 36.5410 3.5410 0.1244 0.1233
1 0 1600 14.4320 14.1160 36.8380 3.8380 0.0651 0.0630
1 0 1700 16.1500 15.7890 36.9420 3.9420 0.0898 0.0856
1 0 1800 15.3280 15.0580 37.2100 4.2100 0.1454 0.1344
1 0 1900 15.2640 15.0260 37.3910 4.3910 0.2412 0.2182
1 0 2000 15.5570 15.2700 37.6700 4.6700 0.3013 0.2515
1 0 2100 14.8690 14.6860 37.8110 4.8110 0.3963 0.3374
1 0 2200 15.4100 15.2960 38.1280 5.1280 0.2359 0.1835
1 0 2300 15.3240 15.2090 38.2510 5.2510 0.2485 0.1916
1 0 2400 15.0830 14.9780 38.5020 5.5020 0.1145 0.0831
1 0 2500 15.1350 15.0090 38.6910 5.6910 0.1611 0.1190
1 0 2600 15.1810 15.0230 38.9210 5.9210 0.1467 0.1018
1 0 2700 15.1650 14.9420 39.0890 6.0890 0.2015 0.1506
1 0 2800 15.7230 15.4210 39.2610 6.2610 0.2920 0.2286
1 0 2900 15.6060 15.2820 39.4260 6.4260 0.3963 0.3132
1 0 3000 15.1490 14.7850 39.5780 6.5780 0.5037 0.4478
1 0 3100 15.1810 14.7940 39.8390 6.8390 0.5696 0.4935
1 0 3200 14.8240 14.5300 40.0240 7.0240 0.5358 0.4540
1 0 3300 14.7710 14.4850 40.2280 7.2280 0.4887 0.4055
1 0 3400 14.8460 14.5300 40.4780 7.4780 0.4578 0.3801
1 0 3500 15.1090 14.8870 40.6170 7.6170 0.4430 0.3647
1 0 3600 14.8510 14.5400 40.8900 7.8900 0.3701 0.3318
1 0 3700 15.1050 14.7970 41.0860 8.0860 0.2693 0.2213
1 0 3800 15.1900 14.8470 41.2980 8.2980 0.2222 0.1895
1 0 3900 14.9350 14.5510 41.5290 8.5290 0.1743 0.1502
1 0 4000 15.4480 15.0320 41.8170 8.8170 0.1736 0.1438
1 0 4100 15.3800 14.9460 41.9150 8.9150 0.1504 0.1252
1 0 4200 15.2960 14.8990 42.1560 9.1560 0.1852 0.1531
1 0 4300 15.1510 14.7030 42.4180 9.4180 0.2692 0.2353
1 0 4400 14.9080 14.4760 42.5530 9.5530 0.3600 0.2959
1 0 4500 14.8460 14.5030 42.7920 9.7920 0.5102 0.4230
1 0 4600 14.8490 14.4490 42.9990 9.9990 0.4669 0.4059
1 0 4700 15.2310 14.8200 43.1870 10.1870 0.3952 0.3294
1 0 4800 14.8300 14.5170 43.4240 10.4240 0.4714 0.3957
1 0 4900 14.7940 14.4480 43.7030 10.7030 0.4733 0.3888
1 0 5000 15.1250 14.7190 43.9380 10.9380 0.5609 0.4597
1 0 5100 14.8550 14.4870 44.1610 11.1610 0.6288 0.5177
1 0 5200 14.8140 14.4500 44.3170 11.3170 0.3976 0.3073
1 0 5300 14.5480 14.1980 44.5130 11.5130 0.3756 0.2776
1 0 5400 14.8320 14.3970 44.6730 11.6730 0.3874 0.2885
1 0 5500 14.8290 14.2610 44.8730 11.8730 0.3977 0.3092
1 0 5600 14.7500 14.2420 45.0760 12.0760 0.3795 0.3130
1 0 5700 14.6410 14.1130 45.2630 12.2630 0.3565 0.2847
1 0 5800 14.8040 14.3870 45.4320 12.4320 0.3915 0.3124
1 0 5900 14.7040 14.2670 45.6700 12.6700 0.5411 0.4464
1 0 6000 14.5700 14.1500 45.8860 12.8860 0.5427 0.4282
1 0 6100 15.0240 14.5950 46.0630 13.0630 0.3767 0.3229
1 0 6200 14.7990 14.3860 46.2480 13.2480 0.4083 0.3282
1 0 6300 14.9980 14.5750 46.5110 13.5110 0.3744 0.3048
1 0 6400 14.8800 14.5350 46.6690 13.6690 0.4164 0.3756
1 0 6500 14.7450 14.4040 46.8830 13.8830 0.2983 0.2808
1 0 6600 14.8360 14.4650 47.0640 14.0640 0.3484 0.3279
1 0 6700 14.3890 14.1450 47.3740 14.3740 0.4311 0.3897
1 0 6800 14.5990 14.3170 47.5070 14.5070 0.3776 0.3482
1 0 6900 14.2170 14.0210 47.8860 14.8860 0.2871 0.2648
1 0 7000 14.2800 14.0760 48.0300 15.0300 0.1608 0.1446
1 0 7100 14.4700 14.3190 48.2450 15.2450 0.0919 0.0918
1 0 7200 14.6990 14.5550 48.4420 15.4420 0.1261 0.1206
1 0 7300 14.6780 14.5130 48.6460 15.6460 0.0029 0.0029
1 0 7400 14.5890 14.3320 48.8550 15.8550 0.0170 0.0173
1 0 7500 14.8110 14.5280 49.1040 16.1040 0.0186 0.0146
1 0 7600 14.8830 14.5600 49.3300 16.3300 0.0487 0.0454
1 0 7700 14.8360 14.5550 49.4940 16.4940 0.1287 0.1268
1 0 7800 15.0400 14.7100 49.6880 16.6880 0.1176 0.1065
1 0 7900 14.7540 14.4970 49.8740 16.8740 0.1273 0.1040
1 0 8000 14.9150 14.6250 50.1260 17.1260 0.2029 0.1612
1 0 8100 15.1700 14.7760 50.2520 17.2520 0.3016 0.2352
1 0 8200 15.3910 14.8720 50.4060 17.4060 0.3906 0.3134
1 0 8300 15.0290 14.5070 50.5360 17.5360 0.3302 0.3018
1 0 8400 15.2630 14.7230 50.6540 17.6540 0.3251 0.2865
1 0 8500 15.0320 14.5470 50.8640 17.8640 0.2637 0.2407
1 0 8600 15.0920 14.5610 51.0080 18.0080 0.2328 0.2170
1 0 8700 15.1900 14.7690 51.2080 18.2080 0.1508 0.1320
1 0 8800 14.9300 14.5710 51.3060 18.3060 0.1376 0.1039
1 0 8900 14.8140 14.5510 51.5670 18.5670 0.1835 0.1779
1 0 9000 14.6460 14.3610 51.8000 18.8000 0.1995 0.1826
1 0 9100 14.7100 14.4490 51.9610 18.9610 0.1230 0.1107
1 0 9200 14.8990 14.6340 52.1800 19.1800 0.1682 0.1523
1 0 9300 14.8470 14.4910 52.3510 19.3510 0.2460 0.2243
1 0 9400 15.0210 14.6610 52.6500 19.6500 0.3239 0.2967
1 0 9500 14.8500 14.4690 52.8900 19.8900 0.3767 0.3370
1 0 9600 14.9210 14.5920 53.0010 20.0010 0.3920 0.3523
1 0 9700 14.7100 14.3770 53.1960 20.1960 0.4686 0.4294
1 0 9800 14.7720 14.3860 53.2850 20.2850 0.5584 0.5093
1 0 9900 14.5470 14.1860 53.3180 20.3180 0.5073 0.4688
1 0 10000 14.6370 14.2670 53.6650 20.6650 0.4214 0.3936
1 0 10100 15.0210 14.6640 53.8230 20.8230 0.4060 0.3800
1 0 10200 14.8750 14.5450 54.0790 21.0790 0.2442 0.2263
