,rep,reverted_at_final,gen_final,reverted_at_transition,gen_transition,entrenchment_final,entrenchment_transition,DOL_final,soma_size,has_soma
0,3002.0,256.0,48.627,128.0,100.04,128.0,64.0,1.0,11.304,1.0
1,3017.0,256.0,21.083,256.0,100.216,128.0,128.0,1.0,9.63,1.0
2,3019.0,512.0,32.0684,256.0,100.199,256.0,128.0,1.0,11.752,1.0
3,3024.0,256.0,84.04,128.0,100.14,128.0,64.0,1.0,12.72,1.0
4,3038.0,512.0,17.7598,8.0,77.079,256.0,4.0,0.989874869256244,17.208,1.0
5,3046.0,256.0,93.1836,64.0,100.355,128.0,32.0,1.0,12.214,1.0
6,3056.0,128.0,86.8096,256.0,100.189,64.0,128.0,0.9992681125063763,11.654,1.0
7,3074.0,128.0,38.7329,64.0,100.354,64.0,32.0,0.05604148806856516,0.698,0.0
8,3081.0,256.0,66.0591,128.0,100.097,128.0,64.0,0.9991276598330271,12.524,1.0
9,3097.0,512.0,26.9688,64.0,100.033,256.0,32.0,0.9996545265161622,15.53,1.0
10,3100.0,256.0,29.7441,128.0,100.047,128.0,64.0,0.9999468400327599,11.806,1.0
11,3102.0,256.0,23.3828,128.0,100.108,128.0,64.0,0.9990166065234588,10.032,1.0
12,3111.0,256.0,23.959,64.0,100.175,128.0,32.0,0.04677464894803144,0.48,0.0
13,3150.0,256.0,100.2271,1.0,100.047,128.0,0.5,0.989312136061023,7.884,1.0
14,3158.0,512.0,79.8408,128.0,100.101,256.0,64.0,1.0,15.76,1.0
15,3181.0,256.0,37.6851,256.0,100.059,128.0,128.0,1.0,10.7,1.0
16,3186.0,256.0,55.666,128.0,100.094,128.0,64.0,0.9987998912699717,12.588,1.0
17,3227.0,512.0,34.4448,64.0,100.05,256.0,32.0,0.9851928581581715,12.07,1.0
18,3257.0,512.0,39.1377,256.0,100.186,256.0,128.0,0.9929413779636653,11.74,1.0
19,3312.0,256.0,33.4038,64.0,100.067,128.0,32.0,1.0,10.306613226452907,1.0
20,3323.0,64.0,100.165,8.0,99.592,32.0,4.0,0.11298185908105339,0.638,0.0
21,3335.0,256.0,40.7432,128.0,100.238,128.0,64.0,1.0,11.088,1.0
22,3358.0,64.0,100.265,16.0,49.81,32.0,8.0,0.042082238572475686,0.36,0.0
23,3362.0,256.0,60.0977,256.0,100.059,128.0,128.0,1.0,13.504,1.0
24,3366.0,256.0,53.3828,64.0,100.303,128.0,32.0,1.0,17.582,1.0
25,3383.0,512.0,16.0059,32.0,100.197,256.0,16.0,1.0,12.59,1.0
26,3411.0,512.0,100.0859,128.0,100.045,256.0,64.0,1.0,19.832,1.0
27,3416.0,512.0,94.3491,256.0,100.016,256.0,128.0,0.9997528723757697,13.974,1.0
28,3430.0,512.0,39.708,64.0,100.039,256.0,32.0,0.9995441745050317,14.206,1.0
29,3447.0,64.0,100.193,32.0,100.363,32.0,16.0,0.3079819977456649,1.248496993987976,0.0
30,3451.0,256.0,100.0271,16.0,44.519,128.0,8.0,0.0641368809422609,1.068,0.0
31,3486.0,256.0,57.7061,32.0,100.074,128.0,16.0,0.9984897385892068,14.686,1.0
32,3493.0,32.0,66.7781,8.0,86.686,16.0,4.0,0.029797640660471515,0.092,0.0
33,3497.0,256.0,43.9448,128.0,100.194,128.0,64.0,1.0,14.102,1.0
34,4032.0,256.0,80.4668,64.0,100.068,128.0,32.0,0.999457292620902,10.136,1.0
35,4048.0,128.0,51.0601,64.0,34.295500000000004,64.0,32.0,0.036679272349828304,0.838,0.0
36,4057.0,16.0,100.189,16.0,65.8361,8.0,8.0,0.19311065849176876,0.776,0.0
37,4068.0,256.0,17.6621,128.0,100.133,128.0,64.0,0.999290000280002,10.07,1.0
38,4076.0,256.0,22.761,64.0,100.213,128.0,32.0,0.9998860833068335,9.494,1.0
39,4077.0,128.0,100.179,64.0,100.179,64.0,32.0,0.05984806595503925,0.6096033402922756,0.0
40,4097.0,256.0,33.564,128.0,100.241,128.0,64.0,0.9991535622825327,9.872,1.0
41,4122.0,512.0,24.5557,128.0,100.113,256.0,64.0,0.9999424076529717,17.49,1.0
42,4140.0,256.0,39.291,128.0,100.059,128.0,64.0,1.0,20.39235412474849,1.0
43,4170.0,256.0,30.6089,32.0,37.131,128.0,16.0,0.9997398129781766,12.832,1.0
