"","strategy_rep","inflection_point","timepoint"
"1",200,95.7815093325148,0
"2",400,95.7815093325148,0
"3",600,130.329002034502,0
"4",800,191.550668911633,0
"5",1000,191.550668911633,0
"6",1200,191.550668911633,0
"7",1400,191.550668911633,0
"8",1600,191.550668911633,0
"9",1800,191.550668911633,0
"10",2000,191.550668911633,0
"11",2200,191.550668911633,0
"12",2400,191.550668911633,0
"13",2600,130.329002034502,0
"14",2800,251.634350087096,0
"15",3000,383.033472477847,0
"16",3200,383.033472477847,0
"17",3400,383.033472477847,0
"18",3600,383.033472477847,0
"19",3800,383.033472477847,0
"20",4000,260.638031498025,0
"21",4200,383.033472477847,0
"22",4400,383.033472477847,0
"23",4600,383.033472477847,0
"24",4800,251.634350087096,0
"25",5000,383.033472477847,0
"26",5200,383.033472477847,0
"27",5400,260.638031498025,0
"28",5600,383.033472477847,0
"29",5800,383.033472477847,0
