,timepoint,tech_rep,num_propagules,cur_update,time_since_last_rep,multicell_size,germ_count,total_workload,germ_workload,soma_workload
0,5,0,1,1100,1100,1,1,0,0,0
1,10,0,2,1755,877,1,1,0,0,0
1,15,0,2,1755,877,1,1,0,0,0
1,20,0,2,1750,875,1,1,0,0,0
1,25,0,2,1750,875,1,1,0,0,0
3,30,0,4,1649,412,1,1,0,0,0
4,35,0,5,889,168,25,25,0,0,0
4,40,0,5,889,168,25,25,0,0,0
4,45,0,5,878,170,25,25,0,0,0
4,50,0,5,876,169,25,25,0,0,0
4,55,0,5,880,170,25,25,0,0,0
4,60,0,5,880,170,25,25,0,0,0
4,65,0,5,880,170,25,25,0,0,0
4,70,0,5,888,168,25,25,0,0,0
4,75,0,5,884,168,25,25,0,0,0
4,80,0,5,884,168,25,25,0,0,0
4,85,0,5,868,167,25,25,0,0,0
4,90,0,5,881,167,25,25,0,0,0
4,95,0,5,884,167,25,25,0,0,0
4,100,0,5,881,167,25,25,0,0,0
4,105,0,5,955,182,25,25,0,0,0
4,110,0,5,637,124,25,25,375,375,0
4,115,0,5,713,151,25,25,319,319,0
4,120,0,5,581,109,25,25,506,506,0
4,125,0,5,584,109,25,24,392,344,48
4,130,0,5,608,116,25,25,388,388,0
4,135,0,5,614,122,25,25,390,390,0
4,140,0,5,638,120,25,25,332,332,0
4,145,0,5,566,116,25,25,476,476,0
4,150,0,5,434,106,25,25,522,522,0
4,155,0,5,431,81,25,24,457,447,10
4,160,0,5,433,81,25,24,412,404,8
4,165,0,5,457,94,25,25,465,465,0
4,170,0,5,388,73,25,25,563,563,0
4,175,0,5,443,93,25,25,410,410,0
4,180,0,5,429,81,25,24,447,432,15
4,185,0,5,418,93,25,24,430,424,6
4,190,0,5,784,173,5,5,135,135,0
4,195,0,5,393,81,25,25,484,484,0
4,200,0,5,439,103,25,25,410,410,0
4,205,0,5,377,57,25,25,567,567,0
4,210,0,5,378,68,25,25,583,583,0
4,215,0,5,355,60,25,25,575,575,0
4,220,0,5,377,81,25,24,618,549,69
4,225,0,5,376,68,25,24,602,571,31
4,230,0,5,428,77,25,25,471,471,0
4,235,0,5,464,90,25,25,311,311,0
4,240,0,5,441,90,25,25,374,374,0
4,245,0,5,597,114,25,25,159,159,0
4,250,0,5,498,99,25,25,332,332,0
4,255,0,5,577,126,25,24,222,203,19
4,260,0,5,578,115,25,25,166,166,0
4,265,0,5,530,100,25,25,281,281,0
4,270,0,5,492,99,25,23,311,248,63
4,275,0,5,494,101,25,24,303,247,56
4,280,0,5,393,80,25,25,548,548,0
4,285,0,5,540,104,25,23,539,481,58
4,290,0,5,415,87,25,24,517,501,16
4,295,0,5,348,62,25,23,543,502,41
4,300,0,5,488,115,25,24,340,328,12
4,305,0,5,516,129,25,23,498,396,102
4,310,0,5,362,87,25,24,701,669,32
4,315,0,5,421,135,25,25,643,643,0
4,320,0,5,389,62,25,25,450,450,0
4,325,0,5,574,136,25,25,262,262,0
4,330,0,5,495,106,25,25,292,292,0
4,335,0,5,425,66,25,25,405,405,0
4,340,0,5,527,131,25,24,308,278,30
4,345,0,5,441,99,25,24,402,373,29
4,350,0,5,427,108,25,25,446,446,0
4,355,0,5,531,136,25,24,388,377,11
4,360,0,5,447,93,25,25,474,474,0
4,365,0,5,458,93,25,24,386,374,12
4,370,0,5,492,109,25,25,438,438,0
4,375,0,5,646,151,25,25,308,308,0
4,380,0,5,461,103,25,21,546,482,64
4,385,0,5,304,65,24,23,739,699,40
4,390,0,5,331,82,25,23,855,747,108
4,395,0,5,281,54,25,22,910,743,167
4,400,0,5,316,58,25,24,846,808,38
4,405,0,5,327,57,25,25,684,684,0
4,410,0,5,420,145,25,24,773,751,22
4,415,0,5,297,80,25,23,865,797,68
4,420,0,5,356,94,25,23,844,666,178
4,425,0,5,336,55,25,24,653,577,76
4,430,0,5,376,94,25,24,639,582,57
4,435,0,5,322,47,25,24,732,650,82
4,440,0,5,236,37,25,25,852,852,0
4,445,0,5,251,43,25,25,829,829,0
4,450,0,5,273,65,25,25,862,862,0
4,455,0,5,290,70,25,25,764,764,0
4,460,0,5,444,103,25,24,512,464,48
4,465,0,5,380,89,25,25,621,621,0
4,470,0,5,253,38,25,25,797,797,0
4,475,0,5,261,47,25,22,772,650,122
4,480,0,5,275,48,25,24,723,655,68
4,485,0,5,446,72,25,25,407,407,0
4,490,0,5,273,68,25,24,739,683,56
4,495,0,5,367,55,25,25,547,547,0
4,500,0,5,314,59,25,22,1296,1129,167
4,505,0,5,342,45,25,24,631,613,18
4,510,0,5,251,49,25,22,834,698,136
4,515,0,5,253,41,25,23,797,751,46
4,520,0,5,266,42,25,22,969,783,186
4,525,0,5,361,73,25,24,553,506,47
4,530,0,5,370,83,25,25,604,604,0
4,535,0,5,333,58,25,24,634,579,55
4,540,0,5,282,33,25,24,794,644,150
4,545,0,5,304,49,25,21,787,546,241
4,550,0,5,276,41,25,25,926,926,0
4,555,0,5,337,71,25,23,609,444,165
4,560,0,5,337,74,25,25,713,713,0
4,565,0,5,335,62,25,22,825,621,204
4,570,0,5,315,61,25,24,664,598,66
4,575,0,5,322,70,25,23,677,614,63
4,580,0,5,296,66,25,24,705,662,43
4,585,0,5,476,90,25,25,276,276,0
4,590,0,5,446,98,25,25,338,338,0
4,595,0,5,397,76,25,24,478,464,14
4,600,0,5,508,90,25,25,273,273,0
4,605,0,5,440,90,25,25,375,375,0
4,610,0,5,440,77,25,25,382,382,0
4,615,0,5,382,66,25,25,455,455,0
4,620,0,5,427,69,25,25,372,372,0
4,625,0,5,446,86,25,25,431,431,0
4,630,0,5,403,67,25,25,407,407,0
4,635,0,5,456,84,25,25,398,398,0
4,640,0,5,371,82,25,25,485,485,0
4,645,0,5,293,58,25,24,629,561,68
4,650,0,5,289,57,25,23,809,712,97
4,655,0,5,351,76,25,23,609,550,59
4,660,0,5,348,98,25,23,907,797,110
4,665,0,5,484,106,25,23,1042,928,114
4,670,0,5,290,55,25,23,734,675,59
4,675,0,5,297,53,25,24,777,719,58
4,680,0,5,315,72,25,23,672,614,58
4,685,0,5,321,73,25,25,642,642,0
4,690,0,5,308,49,25,23,734,584,150
4,695,0,5,262,45,25,24,828,791,37
4,700,0,5,381,70,25,24,962,930,32
4,705,0,5,357,74,25,25,700,700,0
4,710,0,5,384,62,25,23,640,569,71
4,715,0,5,401,83,25,20,641,445,196
4,720,0,5,391,73,25,24,668,610,58
4,725,0,5,395,67,25,24,610,582,28
4,730,0,5,324,68,25,23,774,680,94
4,735,0,5,285,52,25,23,991,883,108
4,740,0,5,269,60,25,19,1074,812,262
4,745,0,5,296,55,25,19,824,513,311
4,750,0,5,315,69,25,23,900,777,123
4,755,0,5,298,65,25,19,823,453,370
4,760,0,5,339,58,25,22,784,645,139
4,765,0,5,339,73,25,22,751,575,176
4,770,0,5,357,78,25,20,681,570,111
4,775,0,5,329,56,25,23,607,383,224
4,780,0,5,328,48,25,23,620,408,212
4,785,0,5,366,70,25,24,479,450,29
4,790,0,5,409,69,25,25,516,516,0
4,795,0,5,371,59,25,25,542,542,0
4,800,0,5,371,59,25,25,542,542,0
4,805,0,5,345,61,25,24,646,614,32
4,810,0,5,489,92,25,24,389,306,83
4,815,0,5,489,92,25,24,389,306,83
4,820,0,5,496,109,25,24,403,314,89
4,825,0,5,410,59,25,25,544,544,0
4,830,0,5,286,53,25,24,761,746,15
4,835,0,5,314,49,25,24,678,655,23
4,840,0,5,364,70,25,25,548,548,0
4,845,0,5,331,68,25,25,625,625,0
4,850,0,5,322,68,25,25,624,624,0
4,855,0,5,392,76,25,22,537,423,114
4,860,0,5,431,78,25,24,540,530,10
4,865,0,5,333,67,25,24,636,527,109
4,870,0,5,263,59,25,23,881,775,106
4,875,0,5,302,60,25,24,770,743,27
4,880,0,5,343,64,25,23,644,523,121
4,885,0,5,353,79,25,24,536,516,20
4,890,0,5,440,95,25,25,461,461,0
4,895,0,5,404,118,25,23,646,605,41
4,900,0,5,411,131,25,24,512,468,44
4,905,0,5,369,104,25,24,579,542,37
4,910,0,5,571,139,25,21,1566,1455,111
4,915,0,5,264,52,25,23,1062,936,126
4,920,0,5,322,78,25,24,720,697,23
4,925,0,5,334,67,25,25,695,695,0
4,930,0,5,366,61,25,23,696,565,131
4,935,0,5,406,61,25,23,489,424,65
4,940,0,5,447,82,25,24,406,389,17
4,945,0,5,393,75,25,23,536,465,71
4,950,0,5,330,55,25,23,685,654,31
4,955,0,5,380,86,25,25,531,531,0
4,960,0,5,381,76,25,25,566,566,0
4,965,0,5,381,76,25,25,566,566,0
4,970,0,5,366,83,25,24,578,558,20
4,975,0,5,317,58,25,23,752,723,29
4,980,0,5,339,70,25,24,647,607,40
4,985,0,5,390,100,25,25,501,501,0
4,990,0,5,373,70,25,25,574,574,0
4,995,0,5,340,60,25,25,693,693,0
4,1000,0,5,335,64,25,24,584,569,15
4,1005,0,5,448,94,25,25,438,438,0
4,1010,0,5,424,81,25,25,461,461,0
4,1015,0,5,361,82,25,23,561,430,131
4,1020,0,5,361,82,25,23,561,430,131
4,1025,0,5,446,113,25,24,477,451,26
4,1030,0,5,388,73,25,25,485,485,0
4,1035,0,5,381,87,25,24,519,445,74
4,1040,0,5,354,65,25,25,552,552,0
4,1045,0,5,515,107,25,25,321,321,0
4,1050,0,5,359,64,25,24,484,416,68
4,1055,0,5,381,69,25,24,511,481,30
4,1060,0,5,260,47,25,24,843,726,117
4,1065,0,5,277,55,25,25,784,784,0
4,1070,0,5,279,52,25,24,787,757,30
4,1075,0,5,279,52,25,24,787,757,30
4,1080,0,5,369,56,25,25,539,539,0
4,1085,0,5,312,48,25,23,652,574,78
4,1090,0,5,335,54,25,24,649,635,14
4,1095,0,5,340,53,25,24,574,543,31
4,1100,0,5,312,52,25,24,632,576,56
4,1105,0,5,336,59,25,23,579,523,56
4,1110,0,5,398,73,25,24,503,473,30
4,1115,0,5,455,70,25,24,580,542,38
4,1120,0,5,384,75,25,24,509,497,12
4,1125,0,5,358,78,25,24,531,467,64
4,1130,0,5,277,48,25,24,708,697,11
4,1135,0,5,361,71,25,25,505,505,0
4,1140,0,5,361,71,25,25,505,505,0
4,1145,0,5,420,78,25,25,408,408,0
4,1150,0,5,318,58,25,25,732,732,0
4,1155,0,5,318,58,25,25,732,732,0
4,1160,0,5,342,54,25,23,561,499,62
4,1165,0,5,356,68,25,24,590,582,8
4,1170,0,5,348,51,25,22,776,586,190
4,1175,0,5,347,50,25,23,787,717,70
4,1180,0,5,378,68,25,25,525,525,0
4,1185,0,5,318,50,25,25,583,583,0
4,1190,0,5,296,52,25,25,624,624,0
4,1195,0,5,284,65,25,25,729,729,0
4,1200,0,5,349,83,25,24,607,597,10
4,1205,0,5,362,67,25,24,697,671,26
4,1210,0,5,397,82,25,25,578,578,0
4,1215,0,5,448,78,25,25,469,469,0
4,1220,0,5,307,55,25,23,726,644,82
4,1225,0,5,319,68,25,24,713,687,26
4,1230,0,5,432,90,25,25,437,437,0
4,1235,0,5,450,86,25,24,464,444,20
4,1240,0,5,367,77,25,23,681,610,71
4,1245,0,5,330,60,25,25,698,698,0
4,1250,0,5,372,83,25,24,766,738,28
4,1255,0,5,421,91,25,24,609,586,23
4,1260,0,5,349,73,25,24,690,682,8
4,1265,0,5,349,73,25,24,690,682,8
4,1270,0,5,450,68,25,24,554,537,17
4,1275,0,5,413,75,25,24,582,561,21
4,1280,0,5,334,60,25,23,667,586,81
4,1285,0,5,376,59,25,24,558,508,50
4,1290,0,5,365,86,25,24,683,658,25
4,1295,0,5,362,71,25,24,675,639,36
4,1300,0,5,291,46,25,24,766,672,94
4,1305,0,5,414,70,25,24,517,467,50
4,1310,0,5,414,70,25,24,517,467,50
4,1315,0,5,338,54,25,22,612,514,98
4,1320,0,5,286,51,25,23,730,565,165
4,1325,0,5,355,58,25,23,600,522,78
4,1330,0,5,339,50,25,23,590,499,91
4,1335,0,5,343,77,25,23,582,451,131
4,1340,0,5,333,80,25,23,613,525,88
4,1345,0,5,397,114,25,23,487,301,186
4,1350,0,5,332,64,25,23,617,446,171
4,1355,0,5,298,61,25,23,676,525,151
4,1360,0,5,270,65,25,23,917,777,140
4,1365,0,5,372,104,25,22,592,542,50
4,1370,0,5,339,78,25,23,572,462,110
4,1375,0,5,304,66,25,24,647,590,57
4,1380,0,5,339,71,25,23,614,591,23
4,1385,0,5,419,85,25,25,522,522,0
4,1390,0,5,346,60,25,24,636,573,63
4,1395,0,5,407,95,25,25,524,524,0
4,1400,0,5,382,77,25,25,495,495,0
4,1405,0,5,418,88,25,24,550,528,22
4,1410,0,5,344,77,25,22,724,628,96
