,strategy_rep,timepoint,num_viable_unicells_unfiltered,num_viable_unicells_F1,num_viable_unicells_F2,adjusted_num_viable_uni,uni_avg_avg_workload,multi_avg_workload,uni_avg_avg_growth_rate,multi_avg_growth_rate,uni_avg_rel_fitness
1,3416,200,116,116,114,37.25626161,120.5205232,3776.21,0.000547599,0.005507285,0.099431697
2,3416,400,94,94,93,85.57481504,41.59694275,5927.84,0.001461208,0.006346978,0.23022103
3,3416,600,36,36,35,35,20.05958567,2511.19,0.001035504,0.005067196,0.204354488
4,3416,800,39,39,39,39,12.91243459,4741.28,0.000806769,0.006339893,0.127252712
5,3416,1000,10,10,10,10,6.063617408,5184.04,0.001213258,0.006655111,0.182304698
6,3416,1200,45,44,43,43,2.103945145,4746.27,0.0007189,0.006549472,0.109764513
7,3416,1400,44,44,44,44,15.63895952,4309.07,0.000769328,0.005937902,0.129562297
8,3416,1600,44,44,43,22.44325691,114.0384286,4586.62,0.000668769,0.00545266,0.122650034
9,3416,1800,41,41,40,40,11.62394441,4069.49,0.0007199,0.005271218,0.136571823
10,3416,2000,75,75,72,72,13.98518457,5972.14,0.000352186,0.006437795,0.05470607
11,3416,2200,43,43,43,20.39277582,115.9860837,5807.05,0.000526026,0.006151931,0.085505778
12,3416,2400,44,44,41,15.2549911,83.41024126,4891.68,0.00079756,0.005822681,0.136974719
13,3416,2600,39,39,39,39,23.89998161,4374.79,0.001679394,0.005661485,0.296634949
14,3416,2800,46,46,44,44,169.7135401,20556.55,0.001230892,0.014609856,0.084250817
15,3416,3000,256,256,83,49.23824384,220.7691721,13407.52,0.000525945,0.016294778,0.032276893
16,3416,3200,288,288,126,107.4222094,95.29534765,12165.46,0.000464279,0.017053067,0.027225562
17,3416,3400,262,262,62,52.2694348,187.6257009,12311.57,0.000946809,0.016962814,0.055816746
18,3416,3600,292,292,86,51.63730648,245.6990292,13247.39,0.000696453,0.016272744,0.04279876
19,3416,3800,258,258,76,46.58954886,212.9812401,12143.15,0.000679442,0.016734298,0.040601785
20,3416,4000,234,234,107,72.93103061,174.1022769,14145.49,0.000488324,0.017802042,0.027430768
21,3416,4200,304,304,88,52.23531737,239.5394707,13465.97,0.000628311,0.017659924,0.035578362
22,3416,4400,191,191,78,44.29519706,237.2805035,14565.33,0.000498659,0.019098172,0.026110287
23,3416,4600,242,242,72,44.32371839,244.3775074,15572.4,0.000628446,0.018364603,0.034220519
24,3416,4800,240,240,81,46.47621923,257.7364099,13274.75,0.000661258,0.017992855,0.036751142
25,3416,5000,216,216,77,45.32405617,280.0074176,15072.34,0.000646891,0.017803381,0.036335309
26,3416,5200,224,224,82,47.44010646,257.5813398,15151.26,0.000623472,0.018244069,0.034173934
27,3416,5400,222,222,70,45.71379842,243.608187,16890.21,0.000743092,0.018280034,0.040650459
28,3416,5600,235,235,73,42.53668814,241.3390962,13342.7,0.00045921,0.019323035,0.023764889
29,3416,5800,48,48,46,46,113.1959611,14147.79,0.000814096,0.018857644,0.043170587
30,35,35,144,144,142,140.5599163,8.483913276,83.96,0.001110724,0.002878436,0.38587773
31,6026,6026,168,168,53,47.12594049,172.348538,12190.03,0.000404105,0.018339153,0.022035105
