"","X","strategy_rep","trans_viable_uni","final_viable_uni","num_viable_unicells_diff","adjusted_trans_viable_uni","adjusted_final_viable_uni","adjusted_num_viable_unicells_diff","value.x","trans_uni_avg_growth_rate","final_uni_avg_growth_rate","trans_uni_avg_rel_fitness","final_uni_avg_rel_fitness","trans_uni_avg_workload","final_uni_avg_workload","trans_multi_avg_growth_rate","final_multi_avg_growth_rate","trans_multi_avg_workload","final_multi_avg_workload","has_soma.x","logistic_entrench_trans","logistic_entrench_final","value.y","experiment","avg_total_SD_trans","avg_total_CV_trans","avg_total_SD_final","avg_total_CV_final","treatment","has_soma.y"
"1",1,3002,97,109,12,96.1818181818182,108.365853658537,12.1840354767184,"difference",0.00141339894829946,0.00167276893780468,0.489421487858704,0.0684860123485096,12.9394216432938,21.5075000955596,0.00288789720795321,0.0244249720554956,116.29,15513.24,"1",125.958791768658,191.493065517875,"difference","main",0.323370517962341,0.718248299458593,46.9871278698572,2.14114205808952,"DW",1
"2",2,3017,63,117,54,63,115.336314363144,52.3363143631436,"difference",0.000715597810762008,0.00207876115609631,0.580587698212827,0.0980777561480077,0.0394008988168806,253.778565561426,0.00123254042923192,0.0211950317558171,0,14047.16,"1",191.586178203501,191.493065517875,"difference","main",0,NA,43.0472988634409,1.46414094016926,"DW",1
"3",3,3019,111,64,-47,111,63.1136363636364,-47.8863636363636,"difference",0.00132545951804689,0.000822218515357995,0.460996810927058,0.0346228217825578,6.90932170602055,46.5517789560595,0.00287520322620325,0.0237478770656472,150.67,17319.47,"1",192.035272811788,260.668549153548,"difference","main",0.234061817640347,1.17024014548254,50.2016563664727,2.13474973428635,"DW",1
"4",4,3024,53,106,53,53,102.172871826204,49.172871826204,"difference",0.0010279032440855,0.00126455941605856,0.835672550333593,0.0517904579330703,0.0724832656657777,16.3640541516633,0.00123003112125099,0.024416841760557,0,18549.27,"1",96.2989663761132,251.608418982415,"difference","main",0,NA,50.732826740396,1.90333410865184,"DW",1
"5",5,3038,101,275,174,100.726315789474,275,174.273684210526,"difference",0.00261535977378481,0.000677373274608456,0.884517618868671,0.0212638430383796,43.7149126374826,24.6579743006425,0.00295682043861371,0.0318556374492536,159.56,13393.67,"1",6.78611419850051,260.668549153548,"difference","main",0.617683312775299,0.358363920150587,23.6558921054987,1.3266664369183,"DW",1
"6",6,3046,129,75,-54,129,75,-54,"difference",0.00163934093450975,0.000820356534195971,0.589826831047678,0.0395093177777582,9.07808042467709,7.5290432833962,0.00277935971749178,0.0207636218577733,109.21,15290.59,"1",47.8809396305926,251.608418982415,"difference","main",0.248783608530036,0.812990171900601,43.3217495168955,1.9072491907856,"DW",1
"7",7,3056,66,116,50,66,116,50,"difference",0.000790414791278126,0.00202665480992093,0.635190340121501,0.0846910211047083,0.1384540144987,40.6674922935429,0.00124437470369422,0.0239299843535392,0,14446.18,"1",130.290346158749,125.801446290557,"difference","main",0,NA,37.269379195686,1.74513580006837,"DW",1
"8",8,3074,63,77,14,62.1136363636364,77,14.8863636363636,"difference",0.00179639073645778,0.00137351432059404,0.582402440389585,0.229790654208684,15.3769680925588,3.56138644702189,0.00308444919162105,0.00597724187401755,149.76,4595.05,"0",48.0061761111761,128.000000000004,"difference","main",0.385949221375231,0.660367458721998,10.148476819849,1.64691352925215,"DW",0
"9",9,3081,51,54,3,51,48.9446907498632,-2.05530925013684,"difference",0.00179905104663311,0.00072372041380084,0.608203007079791,0.0399116580151398,12.5887299868057,159.833448422937,0.00295797788845376,0.0181330581036325,218.84,16017.01,"1",95.7565156893322,191.493065517875,"difference","main",0.308500932952862,1.04061798780673,34.2886080450097,1.27558084153326,"DW",1
"10",10,3097,53,134,81,53,134,81,"difference",0.00164828820615339,0.000921773451724189,0.587925675963636,0.0425715968332257,9.18276878789865,75.8758943819808,0.00280356560963555,0.0216523109371546,143.43,16161.73,"1",62.8946167265284,260.668549153548,"difference","main",0.307223383516111,0.611983049556922,36.4178743027816,1.54550469699276,"DW",1
"11",11,3100,95,38,-57,94.1666666666667,36.4629766753054,-57.7036899913612,"difference",0.00161509560567196,0.00140584925010282,0.747516102614001,0.065405004600803,11.9336082913577,91.7591648452211,0.00216061647371088,0.0214945210795927,4994.87,11386.1,"1",95.7515089970227,191.493065517875,"difference","main",10.3335521893109,1.42384992009254,28.8972868529818,1.7500128798445,"DW",1
"12",12,3102,132,51,-81,132,42.8403773580921,-89.1596226419079,"difference",0.000530764496597903,0.00125539090489752,0.438470915634778,0.052845844816567,0.0814632825705061,311.03265737078,0.00121048963037722,0.0237557164476242,0,15916.44,"1",125.944276271718,191.493065517875,"difference","main",0,NA,35.0027835080124,1.36857972040062,"DW",1
"13",13,3111,127,93,-34,126.204301075269,89.9291345503719,-36.2751665248969,"difference",0.00183024988691309,0.000853773880811306,0.63445645882721,0.149475355201431,10.1674225754379,38.2533390356079,0.0028847525491289,0.00571180365927728,113.96,4283.26,"0",32.619708172144,191.520602819904,"difference","main",0.358797869831677,0.98203847169926,10.2865428699608,1.57208860712672,"DW",0
