"","strategy_rep","timepoint","num_viable_unicells_unfiltered","num_viable_unicells_F1","num_viable_unicells_F2","adjusted_num_viable_uni"
"1",3002,0,174,174,97,96.1818181818182
"2",3002,1,109,109,109,108.365853658537
"3",3017,0,64,64,63,63
"4",3017,1,123,123,117,115.336314363144
"5",3019,0,111,111,111,111
"6",3019,1,64,64,64,63.1136363636364
"7",3024,0,54,54,53,53
"8",3024,1,107,107,106,102.172871826204
"9",3038,0,172,171,101,100.726315789474
"10",3038,1,138,138,138,138
"11",3046,0,131,131,129,129
"12",3046,1,75,75,75,75
"13",3056,0,67,67,66,66
"14",3056,1,117,117,116,116
"15",3074,0,63,63,63,62.1136363636364
"16",3074,1,78,78,77,77
"17",3097,0,53,53,53,53
"18",3097,1,135,135,134,134
"19",3100,0,97,97,95,94.1666666666667
"20",3100,1,39,39,38,36.4629766753054
"21",3102,0,134,134,132,132
"22",3102,1,51,51,51,42.8403773580921
"23",3111,0,129,129,127,126.204301075269
"24",3111,1,95,95,93,89.9291345503719
"25",3150,0,711,638,625,563.407834172204
"26",3150,1,88,88,88,82.4774638021353
"27",3158,0,89,89,88,88
"28",3158,1,8,8,7,6.07058823529412
"29",3181,0,112,112,110,108.614905149051
"30",3181,1,139,139,107,101.694662021724
"31",3186,0,49,49,48,48
"32",3186,1,81,81,81,80.0549450549451
"33",3227,0,227,227,157,155.378571428571
"34",3227,1,32,32,31,31
"35",3257,0,130,130,127,127
"36",3257,1,40,40,40,40
"37",3312,0,117,117,115,114.022471910112
"38",3312,1,81,81,81,80.0597014925373
"39",3323,0,49,49,49,49
"40",3323,1,79,79,41,41
"41",3335,0,106,106,105,105
"42",3335,1,66,66,64,61.5143033437151
"43",3358,0,120,120,116,103.309270728746
"44",3358,1,77,77,76,73.4004978609825
"45",3362,0,44,44,43,43
"46",3362,1,39,39,39,39
"47",3366,0,174,174,173,173
"48",3366,1,54,54,54,53.1058823529412
"49",3383,0,94,94,92,91.2352941176471
"50",3383,1,235,235,81,76.0259430600755
"51",3411,0,143,143,141,140.25
"52",3411,1,40,40,40,39.6521739130435
"53",3416,0,144,144,142,140.559916274202
"54",3416,1,172,172,54,47.970106560913
"55",3430,0,98,98,98,97.1086956521739
"56",3430,1,32,32,27,27
"57",3447,0,89,89,86,56.8136361935271
"58",3447,1,81,81,79,71.232069294112
"59",3451,0,186,121,117,112.024944250586
"60",3451,1,33,33,32,32
"61",3486,0,114,114,112,112
"62",3486,1,9,9,9,4.53162789531617
"63",3493,0,161,161,161,155.330856086765
"64",3493,1,68,68,68,65.9598584200941
"65",3497,0,119,119,117,116.294117647059
"66",3497,1,226,226,98,96.7169312169312
"67",4032,0,148,148,146,144.27969348659
"68",4032,1,27,27,24,24
"69",4048,0,2090,305,300,269.848098348146
"70",4048,1,52,52,51,49.5398616672734
"71",4057,0,166,166,93,93
"72",4057,1,108,108,51,51
"73",4068,0,154,154,150,147.389529247705
"74",4068,1,151,151,133,129.716231395889
"75",4076,0,52,52,52,52
"76",4076,1,133,133,104,103.735294117647
"77",4077,0,107,107,107,83.9432810486574
"78",4077,1,63,63,62,9.08912754222264
"79",4097,0,123,123,119,116.321988759121
"80",4097,1,160,160,160,159.240506329114
"81",4122,0,156,156,154,153.320512820513
"82",4122,1,10,10,7,7
"83",4140,0,86,86,86,85.234375
"84",4140,1,87,87,82,82
"85",4170,0,177,176,175,170.000335524604
"86",4170,1,43,43,43,43
"87",4175,0,148,146,144,142.750505050505
"88",4175,1,58,58,52,51.304347826087
"89",4178,0,50,50,49,16.7610487333333
"90",4178,1,52,52,52,52
"91",4217,0,122,122,120,118.575149134294
"92",4217,1,148,148,126,120.926208594512
"93",4218,0,52,51,50,50
"94",4218,1,42,42,42,42
"95",4234,0,110,110,109,109
"96",4234,1,13,13,13,13
"97",4243,0,222,222,220,219.103092783505
"98",4243,1,51,51,42,29.2569708359117
"99",4254,0,119,119,101,86.515399581165
"100",4254,1,124,123,104,90.5603702500603
"101",4271,0,90,90,88,88
"102",4271,1,87,87,87,86.8592929292929
"103",4278,0,119,119,117,113.392934343903
"104",4278,1,101,101,101,98.709122154609
"105",4308,0,55,55,54,52.5803921568627
"106",4308,1,2,2,2,2
"107",4310,0,77,77,75,74.7833333333333
"108",4310,1,66,65,62,61.0120481927711
"109",4320,0,183,183,181,180.128205128205
"110",4320,1,39,39,39,39
"111",4357,0,384,384,360,207.842160229218
"112",4357,1,371,371,365,363.166883116883
"113",4360,0,65,65,65,65
"114",4360,1,234,234,106,103.937837822911
"115",4367,0,100,100,98,96.366008991009
"116",4367,1,78,78,78,76.4698412698413
"117",4387,0,106,105,103,102.202934662237
"118",4387,1,128,128,127,124.335541125541
"119",4456,0,116,116,116,114.460924369748
"120",4456,1,106,106,76,76
"121",4493,0,47,47,47,47
"122",4493,1,37,37,36,35.0595238095238
"123",3081,0,52,51,51,51
"124",3081,1,54,54,54,48.8004432613122
"125",4355,0,87,87,87,86.1444444444444
"126",4355,1,238,238,135,133.190151515152
"127",4480,0,74,74,73,73
"128",4480,1,141,141,48,47.1505376344086
"129",4222,0,88,88,88,87.2307692307692
"130",4222,1,59,59,59,59
