,cost,iteration,update,organism_size,num_germ,generation,generation_diff,workload,workload_propagule_ineligible,reverted,rep,num
0,1,0,7900,7.553,3.704,10002.0771,100.0771,70.5091,0.0618,0,3002,1
1,1,1,8000,7.232,3.624,10002.2695,100.2695,78.6054,0.0676,0,3002,1
2,1,2,8200,7.07,3.614,10002.3652,100.3652,67.4847,0.1696,0,3002,1
3,2,0,8200,7.364,3.585,10003.1475,101.1475,83.3313,0.1866,0,3002,1
4,2,1,8600,7.405,3.794,10003.0264,101.0264,71.9102,0.1866,0,3002,1
5,2,2,8200,7.259,3.921,10002.0742,100.0742,69.2907,0.1168,0,3002,1
6,4,0,8900,7.5,3.761,10002.2627,100.2627,72.2127,0.2069,0,3002,1
7,4,1,8700,7.96,3.947,10002.3916,100.3916,71.8848,0.1181,0,3002,1
8,4,2,9000,7.845,3.811,10002.4395,100.4395,70.1932,0.1236,0,3002,1
9,8,0,9900,8.683,4.157,10002.0146,100.0146,66.3584,0.1879,0,3002,1
10,8,1,10300,7.852,3.914,10002.3213,100.3213,65.5362,0.2404,0,3002,1
11,8,2,10800,8.35,4.184,10002.6719,100.6719,63.6295,0.0966,0,3002,1
12,16,0,12800,9.64,4.331,10002.0547,100.0547,72.0087,0.2327,0,3002,1
13,16,1,12700,8.593,4.034,10002.4424,100.4424,66.627,0.2313,0,3002,1
14,16,2,12600,9.25,4.048,10002.2559,100.2559,77.1517,0.2559,0,3002,1
15,32,0,17200,10.321,4.643,10002.0273,100.0273,72.2072,0.3689,0,3002,1
16,32,1,18600,10.414,4.489,10002.1416,100.1416,61.7907,0.2511,0,3002,1
17,32,2,18000,10.376,4.372,10002.0527,100.0527,66.8412,0.7219,0,3002,1
18,64,0,26800,12.608,5.565,10002.2803,100.2803,56.3034,0.294,0,3002,1
19,64,1,25800,11.644,5.189,10002.2451,100.2451,58.0353,0.3671,0,3002,1
20,64,2,26100,12.235,5.063,10002.0566,100.0566,54.5058,0.4468,0,3002,1
21,128,0,43300,13.529,5.769,10002.0645,100.0645,53.7966,0.1929,0,3002,1
22,128,1,44200,12.266,5.04,10002.2236,100.2236,65.1788,0.7179,0,3002,1
23,128,2,44700,13.275,6.049,10002.4287,100.4287,51.2246,0.4584,0,3002,1
24,256,0,37700,1.796,1.211,9952.7744,50.7744,21.716,1.1462,1,3002,1
25,256,1,29500,1.846,1.337,9945.3223,43.3223,38.7882,2.8212,1,3002,1
26,256,2,34500,1.77,1.373,9950.627,48.627,25.9531,0.8587,1,3002,1
27,512,0,8500,1.754,1.33,9913.5518,11.5518,27.5422,1.1752,1,3002,1
28,512,1,8100,1.702,1.265,9913.5234,11.5234,31.2597,1.0656,1,3002,1
29,512,2,8400,1.788,1.355,9913.5977,11.5977,38.6997,0.9653,1,3002,1
30,1024,0,6200,1.548,1.204,9911.0225,9.0225,8.8559,0.0465,1,3002,1
31,1024,1,5600,1.527,1.245,9910.5908,8.5908,15.7374,0.9831,1,3002,1
32,1024,2,6300,1.428,1.103,9910.7861,8.7861,19.792,0.6528,1,3002,1
33,2048,0,5600,1.378,1.076,9910.0742,8.0742,12.648,0.2138,1,3002,1
34,2048,1,6200,1.757,1.256,9910.7773,8.7773,12.6409,0.6584,1,3002,1
35,2048,2,5600,1.341,1.036,9910.416,8.416,20.0485,0.5512,1,3002,1
36,4096,0,5600,1.338,1.05,9910.3105,8.3105,14.8236,0.1838,1,3002,1
37,4096,1,5600,1.28,1.084,9910.4248,8.4248,23.2758,0.2122,1,3002,1
38,4096,2,5600,1.45,1.142,9910.0049,8.0049,20.2317,0.5919,1,3002,1
0,1,0,8200,7.35,3.253,10334.0967,101.0967,68.5126,0.3962,0,3017,1
1,1,1,8200,7.496,3.425,10333.9717,100.9717,69.0167,0.8476,0,3017,1
2,1,2,8300,7.709,3.505,10334.3789,101.3789,63.2332,1.3969,0,3017,1
3,2,0,8900,7.477,3.453,10333.7021,100.7021,64.9858,0.8952,0,3017,1
4,2,1,8200,7.355,3.43,10333.9268,100.9268,62.9017,0.5496,0,3017,1
5,2,2,8700,7.714,3.771,10333.0684,100.0684,61.3714,0.9772,0,3017,1
6,4,0,9000,8.036,3.725,10333.6191,100.6191,61.7358,0.7388,0,3017,1
7,4,1,10100,7.468,3.481,10333.874,100.874,60.1865,0.8498,0,3017,1
