,cost,iteration,update,organism_size,num_germ,generation,generation_diff,workload,workload_propagule_ineligible,reverted,rep,num
0,1,0,47100,14.161,13.957,168.177,100.177,3.2779,3.0898,0,3002,1
1,1,1,47800,14.638,14.269,168.536,100.536,1.7189,1.6644,0,3002,1
2,1,2,49400,13.866,13.701,168.091,100.091,2.6405,2.5524,0,3002,1
3,2,0,52000,14.666,14.493,168.023,100.023,1.2651,1.1897,0,3002,1
4,2,1,45900,12.723,12.366,168.16,100.16,6.7163,6.3876,0,3002,1
5,2,2,53900,15.088,15.054,168.104,100.104,0.54,0.5264,0,3002,1
6,4,0,42900,14.183,14.014,168.422,100.422,3.2565,3.1704,0,3002,1
7,4,1,42200,15.118,13.242,168.119,100.119,4.0968,1.1014,0,3002,1
8,4,2,49500,14.472,14.253,168.055,100.055,0.8972,0.8786,0,3002,1
9,8,0,47300,13.55,13.224,168.179,100.179,4.1325,3.8001,0,3002,1
10,8,1,53700,13.488,13.366,168.081,100.081,2.5551,2.3438,0,3002,1
11,8,2,48000,14.227,13.968,168.027,100.027,4.306,3.6753,0,3002,1
0,8,0,49300,14.575,14.371,168.195,100.195,0.954,0.8368,0,3002,1
1,8,1,50100,13.69,13.305,168.172,100.172,3.3003,3.0901,0,3002,1
2,8,2,49500,14.365,14.26,168.156,100.156,1.2249,1.1926,0,3002,1
3,16,0,40900,12.697,12.459,168.049,100.049,5.7966,5.3971,0,3002,1
4,16,1,49700,13.585,13.369,168.566,100.566,3.9415,3.8039,0,3002,1
5,16,2,48500,13.911,13.748,168.089,100.089,3.4296,3.2918,0,3002,1
6,32,0,55300,13.874,13.408,168.138,100.138,2.5499,1.685,0,3002,1
7,32,1,58200,14.344,14.218,168.049,100.049,1.1349,1.0252,0,3002,1
8,32,2,55400,15.073,14.864,168.24,100.24,1.5091,1.3208,0,3002,1
9,64,0,64000,16.081,15.694,168.009,100.009,1.0032,0.7411,0,3002,1
10,64,1,62100,14.837,14.63,168.184,100.184,2.8705,2.7006,0,3002,1
11,64,2,65600,15.535,15.296,168.162,100.162,1.2478,1.1128,0,3002,1
0,64,0,67300,15.355,15.107,168.055,100.055,0.5441,0.5129,0,3002,1
1,64,1,71200,15.311,15.137,168.3,100.3,0.4974,0.472,0,3002,1
2,64,2,66500,14.691,14.428,168.175,100.175,2.471,2.2508,0,3002,1
3,128,0,60500,1.079,1.058,168.024,100.024,0.4615,0.4329,1,3002,1
4,128,1,67500,1.529,1.484,168.185,100.185,0.5441,0.5512,1,3002,1
5,128,2,82300,14.235,14.151,168.04,100.04,0.958,0.9153,0,3002,1
6,256,0,73600,1.125,1.103,168.086,100.086,0.7733,0.7108,1,3002,1
7,256,1,64800,1.388,1.356,168.198,100.198,1.2313,0.9698,1,3002,1
8,256,2,74900,1.159,1.122,168.037,100.037,1.0923,0.9287,1,3002,1
9,512,0,71600,1.175,1.124,168.001,100.001,1.2332,1.016,1,3002,1
10,512,1,71900,1.119,1.063,168.078,100.078,0.7954,0.8147,1,3002,1
11,512,2,69700,1.216,1.194,168.292,100.292,0.2245,0.2286,1,3002,1
0,512,0,65800,1.04,1.019,168.357,100.357,0.7654,0.6869,1,3002,1
1,512,1,70600,1.258,1.206,168.021,100.021,1.7536,1.3748,1,3002,1
2,512,2,73400,1.209,1.18,168.328,100.328,0.4781,0.3644,1,3002,1
0,1024,0,60400,1.027,1.004,168.357,100.357,2.7945,0.6823,1,3002,1
1,1024,1,60500,1.135,1.109,168.067,100.067,1.2159,0.8693,1,3002,1
2,1024,2,74700,1.191,1.159,168.089,100.089,1.4526,1.1872,1,3002,1
0,2048,0,56500,1.059,1.023,168.033,100.033,1.8782,1.563,1,3002,1
1,2048,1,73700,1.081,1.065,168.098,100.098,0.309,0.246,1,3002,1
2,2048,2,76700,1.04,1.008,168.347,100.347,0.9654,0.8889,1,3002,1
0,1,0,35300,13.123,12.574,122.199,100.199,8.7929,8.5039,0,3017,1
1,1,1,54000,14.097,13.532,122.071,100.071,3.6291,3.5311,0,3017,1
2,1,2,54100,15.775,15.426,122.144,100.144,1.3726,1.2394,0,3017,1
3,2,0,40200,13.106,12.367,122.196,100.196,8.4356,8.0901,0,3017,1
4,2,1,53200,15.362,14.888,122.154,100.154,0.9301,0.8727,0,3017,1
5,2,2,52000,13.216,12.779,122.081,100.081,5.9125,5.5914,0,3017,1
6,4,0,52200,13.775,13.307,122.008,100.008,5.4728,5.0964,0,3017,1
7,4,1,50100,14.53,14.139,122.081,100.081,3.71,3.5284,0,3017,1
8,4,2,50700,13.073,12.476,122.26,100.26,8.2891,7.9134,0,3017,1
9,8,0,46000,12.977,12.631,122.148,100.148,6.6162,6.457,0,3017,1
10,8,1,50900,15.42,15.152,122.201,100.201,0.7168,0.6929,0,3017,1
0,8,0,54700,15.65,15.245,122.162,100.162,1.7513,1.5245,0,3017,1
1,8,1,54800,15.355,15.1,122.301,100.301,0.3997,0.3723,0,3017,1
2,8,2,53600,16.108,15.486,122.099,100.099,1.0193,0.8417,0,3017,1
3,16,0,45600,13.257,12.812,122.103,100.103,6.8606,6.505,0,3017,1
4,16,1,57200,14.539,14.193,122.292,100.292,2.4143,2.3221,0,3017,1
5,16,2,60300,15.788,15.435,122.108,100.108,0.9924,0.9335,0,3017,1
6,32,0,62200,15.531,15.107,122.013,100.013,0.7732,0.687,0,3017,1
7,32,1,62300,14.79,14.57,122.252,100.252,1.2452,1.0679,0,3017,1
8,32,2,51000,12.719,11.169,122.073,100.073,10.1697,9.1049,0,3017,1
9,64,0,70300,15.733,15.414,122.02,100.02,0.4193,0.4011,0,3017,1
10,64,1,69200,16.695,16.365,122.007,100.007,0.4942,0.462,0,3017,1
0,64,0,68100,15.977,15.491,122.004,100.004,0.813,0.6022,0,3017,1
1,64,1,64800,15.753,15.375,122.09,100.09,0.6559,0.5476,0,3017,1
2,64,2,70900,15.79,15.39,122.019,100.019,1.0281,0.9003,0,3017,1
3,128,0,81100,16.21,15.633,122.26,100.26,0.2978,0.2847,0,3017,1
4,128,1,82700,16.919,16.445,122.056,100.056,0.966,0.9362,0,3017,1
5,128,2,87600,16.243,15.904,122.09,100.09,1.185,1.0917,0,3017,1
6,256,0,86000,1.079,1.049,122.216,100.216,1.0074,0.959,1,3017,1
7,256,1,74500,1.064,1.04,122.306,100.306,0.9098,0.5615,1,3017,1
8,256,2,87100,1.227,1.204,122.061,100.061,1.3863,1.0706,1,3017,1
9,512,0,83400,1.075,1.054,122.322,100.322,1.2819,1.1101,1,3017,1
10,512,1,72700,1.205,1.181,122.032,100.032,2.4888,2.3565,1,3017,1
